Var1,Unnamed_0,Sol,peak_centre,delta_P_obs,p_lor_fit,p_lsr_delta_P,p_lsr_peak_time,p_lsr_fit,pres_rate,delta_V,v_lor_fit,v_lsr_delta_V,v_lsr_peak_time,v_lsr_fit,backg_V,time_FWHM,theta_obs,azimuth,miss_distance,D,delta_P,peak_Bz,mag_rate
14,14,465,465.494827546296,-0.463310928022111,NaN,-0.350000073314891,465.494564299599,0.0156521666013377,10,NaN,NaN,NaN,NaN,NaN,11.4806319407985,47.4819299257653,9.41194709110282e-09,-1.24320682676465,200.444043990879,381.893622873936,-0.73568230044686,1.56700000000001,2
15,15,465,465.506325231482,-0.449580002229027,NaN,-0.418988482379787,465.506331232426,0.0171043286278224,10,NaN,NaN,NaN,NaN,NaN,7.22305965123876,1.45097690348834,2.1553344729609e-08,-1.81557847747876,2.78631412076226,9.06969810865936,-0.577163016841319,9.26800000000003,2
16,16,465,465.51927662037,-0.357042222012183,NaN,-0.357042222012183,465.51927662037,0.0117914898781909,10,NaN,NaN,NaN,NaN,NaN,7.17582612578135,0.400000001172884,2.06472002112646e-08,-1.90304171689885,0.719723649684148,2.53520768368683,-0.472144529522401,8.89400000000001,2
17,17,465,465.524045138889,-2.43248429706398,NaN,-1.8282063386078,465.52404809033,0.0085731692994482,10,NaN,NaN,NaN,NaN,NaN,7.28663269081727,7.28293067642733,4.00620844091416e-08,0.486947666236913,21.6164094768807,32.1897787584864,-5.12594575508125,11.505,2
18,18,465,465.528719907407,-0.658727328395116,NaN,-0.618917796947953,465.528738332703,0.0030500196300581,10,NaN,NaN,NaN,NaN,NaN,7.03449271144279,7.18556419295883,1.39867287123712e-08,1.5163246711409,20.2748074116275,31.4879260480264,-1.64532176874878,9.70299999999998,2
19,19,465,465.538346064815,-1.7444488620223,NaN,-1.54294083633633,465.538340949577,0.0114677321027772,10,NaN,NaN,NaN,NaN,NaN,8.69676182220212,10.8642401196002,2.77297045990911e-08,1.30649077515716,42.4975229776314,44.5563416649931,-7.15752308843436,3.51999999999998,2
20,20,465,465.54315162037,-0.400196884458751,NaN,-0.350012199033439,465.543139372802,0.0053244061082199,10,NaN,NaN,NaN,NaN,NaN,10.5046451492537,5.2606837959093,5.91785913019893e-09,1.26087897247592,25.6263960704622,22.8812658751139,-2.10614819832893,4.12800000000004,2
21,21,465,465.552359953704,-1.58072476821633,NaN,-1.35497564674862,465.552352737015,0.0147449525412564,10,NaN,NaN,NaN,NaN,NaN,9.70007644278607,2.73649481103516,2.05128764798619e-08,1.71684932344172,13.0084909259595,7.07030145600188,-19.7021612883548,3.16100000000006,2
22,22,465,465.620760416667,-0.450777247994097,NaN,-0.406120763633389,465.620768426961,0.0040498346103212,10,NaN,NaN,NaN,NaN,NaN,6.14401937810945,7.7906282800582,3.26296279392445e-09,0.941751235518198,32.1996585369157,NaN,0.538148460976119,5.1339999999999,2
23,23,465,465.895402777778,-0.77799197427521,NaN,-0.767540282170749,465.8954666093,0.0035197379793478,10,NaN,NaN,NaN,NaN,NaN,3.30320463011575,193.156624820208,4.94146832869405e-10,-2.11439087256787,1516.25531942174,NaN,0.0367286947804047,1.07500000000005,2
24,24,465,465.916184027778,-0.599421534014596,NaN,-0.59942358502342,465.91622689834,0.0006889190191684,10,NaN,NaN,NaN,NaN,NaN,2.42452833989561,199.91204137703,2.88408640044121e-10,-1.720893937854,1332.3970702512,NaN,0.021180611145353,1.96500000000003,2
25,25,465,465.922158564815,-0.753728882776386,NaN,-0.753730368576114,465.922186939332,0.0008766124622591,10,NaN,NaN,NaN,NaN,NaN,2.28633253943051,199.943609602056,3.18715330274446e-10,-1.64112098125649,1340.4731699448,NaN,0.0233065467825832,3.04300000000001,2
26,26,465,465.928678240741,-0.390848226246476,NaN,-0.38881080781834,465.928632585844,0.0008672650064475,10,NaN,NaN,NaN,NaN,NaN,2.4080426263743,173.225364008168,3.60699147634657e-10,-1.63524645726166,825.803899828985,NaN,0.0273877731571048,2.298,2
0,0,466,466.38791087963,-0.418375367137287,NaN,-0.350009325250545,466.387910712515,0.0055762661646585,10,NaN,NaN,NaN,NaN,NaN,9.22416402985075,12.7771740652925,4.58466901475842e-09,-0.0357790220328976,62.094382499971,NaN,4.58892548999742,5.3549999999999,2
1,1,466,466.41515625,-0.426819722581058,NaN,-0.350001329498001,466.415177297795,0.0044494106468756,10,NaN,NaN,NaN,NaN,NaN,10.2377330264102,22.5695382263121,7.73708233554284e-09,3.10649572840853,93.7081537767743,141.252602922742,-0.966158532023595,7.52699999999993,2
2,2,466,466.427019675926,-0.567375483565115,NaN,-0.431365673308989,466.427026127691,0.0071558861783461,10,NaN,NaN,NaN,NaN,NaN,8.16810467562684,43.3203996485453,5.60590464034287e-09,0.0340839335859711,187.162293168339,NaN,5.08673042220872,8.15800000000002,2
3,3,466,466.432789351852,-0.366624557387809,NaN,-0.350002199305158,466.432793229279,0.0037441912798261,10,NaN,NaN,NaN,NaN,NaN,9.60111127778194,28.8319672370095,3.56910297538903e-09,-0.502164956247057,165.293698301943,NaN,0.91505963462019,7.31100000000004,2
4,4,466,466.455734953704,-0.712908643368678,NaN,-0.520523922321418,466.455736790971,0.0138049084448561,10,NaN,NaN,NaN,NaN,NaN,9.06968487562189,12.3822132976569,1.26177726747205e-08,0.915029566507214,43.4934788640959,73.7830482047575,-1.24401935089688,4.00099999999998,2
5,5,466,466.467711805555,-0.387260758997627,NaN,-0.350014836078677,466.467738863574,0.0061855996273382,10,NaN,NaN,NaN,NaN,NaN,8.47253599502488,13.3673930124713,6.40698800702453e-09,-0.478247450651155,50.4755524239864,55.1478419299193,-1.52288938352419,4.04600000000005,2
6,6,466,466.478575231481,-0.44618762832215,NaN,-0.350001882693462,466.478691533376,0.0098338186946492,10,NaN,NaN,NaN,NaN,NaN,8.27948449670838,37.9849886630953,7.98059668027359e-09,1.6087228716422,125.584915367558,197.354349926335,-0.916909013644331,2.66600000000005,2
7,7,466,466.48053587963,-0.917313378980339,NaN,-1.01938583006632,466.480538009507,0.0273085126375358,10,NaN,NaN,NaN,NaN,NaN,8.90417385708275,2.48959111107064,2.4607775421114e-08,1.43013396595118,8.60318862592099,14.5219458536522,-2.45047879706174,2.54399999999998,2
8,8,466,466.494431712963,-0.49654480894776,NaN,-0.358697095111044,466.494412953382,0.0062511450598148,10,NaN,NaN,NaN,NaN,NaN,8.98208308457711,19.212862150146,7.81734792973003e-09,-0.550710069397135,70.4868355826224,104.158300069444,-1.01577386280382,7.14099999999996,2
9,9,466,466.503466435185,-0.362415290226863,NaN,-0.350010025261449,466.503482444266,0.0062733162648493,10,NaN,NaN,NaN,NaN,NaN,9.09223353233831,66.991861587096,6.04729652505767e-09,-0.768548482006859,279.419626742167,265.403004843613,-1.90183458356785,13.7460000000001,2
10,10,466,466.505202546296,-0.65440716263106,NaN,-0.586316841876032,466.505196963559,0.0054047940068799,10,NaN,NaN,NaN,NaN,NaN,9.98907017412935,2.30571909959205,7.08662301263467e-09,-0.980732675508264,12.6323063989887,NaN,3.52375547237396,10.4540000000001,2
